Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
263.000000	0.004476	1.277000	99.855000	99.898000	1.447000	89.699000	92.180000	
264.000000	0.004288	1.278000	99.764000	99.827000	1.449000	89.008000	92.018000	
265.000000	0.004105	1.278000	99.697000	99.827000	1.453000	89.328000	92.058000	
266.000000	0.003926	1.277000	99.882000	99.898000	1.445000	89.720000	92.342000	
267.000000	0.003753	1.277000	99.745000	99.847000	1.450000	89.378000	92.261000	
268.000000	0.003585	1.277000	99.791000	99.868000	1.451000	89.712000	92.464000	
269.000000	0.003423	1.277000	99.772000	99.847000	1.450000	89.587000	92.261000	
270.000000	0.003265	1.277000	99.830000	99.878000	1.452000	89.503000	92.301000	
271.000000	0.003113	1.277000	99.722000	99.817000	1.450000	89.258000	92.261000	
272.000000	0.002965	1.277000	99.845000	99.898000	1.449000	89.745000	92.220000	
273.000000	0.002823	1.275000	99.830000	99.888000	1.450000	89.549000	92.382000	
274.000000	0.002687	1.277000	99.783000	99.868000	1.452000	89.341000	91.896000	
275.000000	0.002555	1.276000	99.907000	99.929000	1.451000	89.687000	92.180000	
276.000000	0.002429	1.276000	99.844000	99.898000	1.448000	89.983000	92.464000	
277.000000	0.002308	1.275000	99.820000	99.898000	1.450000	89.358000	92.261000	
278.000000	0.002192	1.275000	99.888000	99.929000	1.447000	89.570000	92.301000	
279.000000	0.002082	1.276000	99.763000	99.878000	1.449000	89.228000	92.139000	
280.000000	0.001977	1.276000	99.853000	99.888000	1.447000	89.487000	92.342000	
281.000000	0.001877	1.274000	99.861000	99.919000	1.449000	89.370000	92.139000	
282.000000	0.001782	1.274000	99.926000	99.949000	1.449000	89.449000	92.180000	
283.000000	0.001693	1.275000	99.884000	99.919000	1.448000	89.599000	92.382000	
284.000000	0.001609	1.275000	99.823000	99.888000	1.449000	89.824000	92.382000	
285.000000	0.001531	1.275000	99.834000	99.908000	1.448000	89.724000	92.382000	
286.000000	0.001458	1.274000	99.888000	99.929000	1.448000	89.053000	92.180000	
287.000000	0.001390	1.276000	99.881000	99.919000	1.448000	89.633000	92.220000	
288.000000	0.001328	1.274000	99.789000	99.878000	1.449000	89.278000	92.301000	
289.000000	0.001271	1.275000	99.842000	99.908000	1.449000	89.724000	92.382000	
290.000000	0.001220	1.275000	99.827000	99.857000	1.451000	89.458000	92.261000	
291.000000	0.001174	1.275000	99.859000	99.908000	1.447000	89.483000	92.301000	
292.000000	0.001133	1.275000	99.852000	99.898000	1.449000	89.558000	92.180000	
293.000000	0.001098	1.274000	99.984000	99.980000	1.449000	89.883000	92.504000	
294.000000	0.001068	1.275000	99.862000	99.908000	1.448000	89.403000	92.220000	
295.000000	0.001043	1.274000	99.851000	99.919000	1.449000	89.774000	92.342000	
296.000000	0.001024	1.274000	99.769000	99.868000	1.451000	89.191000	91.937000	
297.000000	0.001011	1.274000	99.832000	99.908000	1.448000	89.533000	92.261000	
298.000000	0.001003	1.274000	99.872000	99.919000	1.449000	89.395000	92.018000	
299.000000	0.001000	1.274000	99.848000	99.929000	1.451000	89.449000	92.099000	
